Id,Sales
1,5009.796
2,5841.391
3,7977.5527
4,12612.08
5,5372.887
6,5659.766
7,15143.431
8,7844.0874
9,8227.648
10,6927.0933
11,10425.22
12,9370.448
13,8036.1426
14,6717.5576
15,8487.081
16,10022.881
17,8704.818
18,9886.862
19,7928.0664
20,10115.971
21,7732.735
22,6375.618
23,6790.164
24,13129.621
25,12977.301
26,7847.956
27,12491.554
28,6341.6055
29,8972.908
30,4720.5986
31,7059.9053
32,5841.7256
33,10119.638
34,10800.665
35,11174.635
36,12059.429
37,9005.033
38,7043.0166
39,7890.5356
40,5297.647
41,7118.0063
42,13363.557
43,7796.7964
44,6189.6177
45,5768.96
46,6794.848
47,9298.858
48,4010.7688
49,9800.254
50,5419.0347
51,8683.929
52,8133.4727
53,7096.152
54,10568.25
55,6022.9062
56,9479.885
57,11842.763
58,7898.7734
59,6629.4946
60,9349.522
61,6057.8438
62,7702.099
63,9958.485
64,13481.909
65,7205.2
66,7939.031
67,9993.386
68,10558.236
69,12245.813
70,7701.93
71,11360.167
72,5269.108
73,5468.3784
74,7773.703
75,8478.157
76,12988.172
77,10053.787
78,5150.724
79,6986.207
80,9130.488
81,8549.371
82,12129.123
83,3872.513
84,15401.8125
85,7686.878
86,5865.3203
87,6173.4507
88,8262.242
89,7493.4775
90,11630.665
91,5568.428
92,8413.809
93,7617.81
94,8060.3154
95,9162.329
96,6574.634
97,8545.776
98,6312.0176
99,5885.512
100,9193.554
101,10101.865
102,11051.832
103,5273.231
104,10948.22
105,5547.35
106,10801.499
107,8799.505
108,13740.285
109,8554.788
110,6364.6875
111,8416.562
112,7187.464
113,7621.255
114,5944.5723
115,9692.858
116,8322.224
117,4440.4575
118,9972.876
119,7005.819
120,9288.7
121,5194.7505
122,12457.407
123,10805.766
124,7224.455
125,17215.295
126,8243.626
127,7018.54
128,9448.013
129,11605.235
130,5297.925
131,5411.8545
132,8591.847
133,8685.122
134,5193.8486
135,7273.0386
136,8314.266
137,11160.352
138,9720.28
139,7461.3623
140,9639.994
141,8306.974
142,5399.536
143,8339.315
144,8801.6455
145,10580.424
146,9471.309
147,10548.452
148,9323.333
149,7333.6772
150,10847.441
151,9763.887
152,6551.6343
153,7391.81
154,10055.081
